seed_num	seed	best_epoch	train_loss	train_perplexity	train_coherence	train_diversity
ALL	AVERAGE	8.8	262.2392272949219	1307.248223876953	0.03631702254174029	0.9765
0	3012270336	9.0	256.08673095703125	1101.9464111328125	0.03567920568998163	0.96
1	3005359855	8.0	262.9025573730469	1329.964599609375	0.043748771693301394	0.98
2	1539158585	9.0	265.6630859375	1429.88037109375	0.039174694039366194	1.0
3	1650736739	9.0	263.9664306640625	1363.8707275390625	0.03843190109425798	0.94
4	408258931	9.0	260.94244384765625	1265.6224365234375	0.03619019490443535	0.97
5	3168174427	9.0	259.9085388183594	1220.6526489257812	0.035062734817570954	1.0
6	408130731	8.0	264.9932861328125	1405.7699584960938	0.038125632132978246	0.965
7	391636219	9.0	263.20770263671875	1342.1760864257812	0.03034403457106182	0.98
8	2995621754	9.0	261.36981201171875	1267.9569702148438	0.03685834589639251	0.99
9	1314470114	9.0	263.3516845703125	1344.6420288085938	0.02955471057805681	0.98
